ITEM_SERIAL,SUPPLIER_NAME,LEAD_TIME_DAYS,MIN_ORDER_QTY,UNIT_COST,RELIABILITY_SCORE,PREFERRED
CHEM-001,Dairy Consulting Ltd,30,1,,0.9,True
CHEM-001,Reliable Food & Logistics Ltd,5,1,,0.86,False
CHEM-001,Wagtech Africa Ltd,30,1,,0.88,False
CHEM-002,Neliz Chemicals Ltd,19,1,,0.94,True
CHEM-003,Ecolab,30,1,,0.87,True
CHEM-005,Abadare Chemical Ltd,21,1,,0.92,True
CHEM-007,Abadare Chemical Ltd,27,1,,0.99,True
CHEM-007,Neliz Chemicals Ltd,30,1,,0.87,False
CHEM-008,Kobian Ltd,30,1,,0.94,True
CHEM-009,Ecolab ,5,1,,0.86,True
CHEM-010,Abadare Chemical Ltd,5,1,,0.86,True
CHEM-012,Neliz Chemicals Ltd,5,1,,0.86,True
CHEM-014,Kobian Ltd,5,1,,0.86,True
CHEM-014,Zenco  System,5,1,,0.86,False
CHEM-015,Global Slacker Enterprises Ltd,16,1,,0.99,True
CHEM-017,Abadare Chemical Ltd,12,1,,0.99,True
CHEM-017,PAC Experts Ltd.,30,1,,0.89,False
CHEM-018,Ecolab,30,1,,0.92,True
CHEM-018,Neliz Chemicals Ltd,5,1,,0.86,False
CHEM-019,Naivas,5,1,,0.86,True
CHEM-020,Odex Chemical Ltd,30,1,,0.88,True
CHEM-022,Abadare Chemical Ltd,30,1,,0.89,True
CHEM-022,PAC Experts Ltd.,5,1,,0.86,False
CHEM-022,Science lab Ltd,5,1,,0.86,False
CHEM-023,Naivas,5,1,,0.86,True
CHEM-024,Abadare Chemical Ltd,5,1,,0.86,True
CHEM-025,Blueflame Energy Ltd,5,1,,0.86,True
CHEM-026,Nairobi Java House,5,1,,0.86,False
CHEM-026,Naivas,22,1,,0.99,True
CHEM-027,Blueflame Energy Ltd,5,1,,0.86,True
CHEM-030,Chemoquip Ltd,5,1,,0.86,True
CHEM-030,Dairy Consulting Ltd,5,1,,0.86,False
CHEM-031,Dairy Consulting Ltd,30,1,,0.87,True
CHEM-032,Dairy Consulting Ltd,5,1,,0.86,True
CHEM-033,Dairy Consulting Ltd,5,1,,0.86,True
CHEM-035,Ecolab,30,1,,0.89,True
CHEM-036,Stephen Kiragu,5,1,,0.86,True
CHEM-037,Rentokil Ltd,5,1,,0.86,True
CHEM-039,Naivas,30,1,,0.93,True
CHEM-040,Carrefour,5,1,,0.86,True
CHEM-041,Neliz Chemicals Ltd,30,1,,0.94,True
CHEM-045,Ecolab,30,1,,0.99,False
CHEM-045,Ecolab ,5,1,,0.86,False
CHEM-045,Neliz Chemicals Ltd,16,1,,0.99,True
CHEM-049,Brandables Ltd,21,1,,0.99,True
CHEM-051,Science lab Ltd,5,1,,0.86,True
CHEM-053,Dairy Consulting Ltd,30,1,,0.99,True
CHEM-055,Abadare Chemical Ltd,30,1,,0.94,True
CHEM-055,PAC Experts Ltd.,28,1,,0.87,False
CHEM-057,Abadare Chemical Ltd,5,1,,0.86,True
CHEM-067,Abadare Chemical Ltd,30,1,,0.87,True
CHEM-070,Global Slacker Enterprises Ltd,5,1,,0.86,False
CHEM-070,Neliz Chemicals Ltd,30,1,,0.93,False
CHEM-070,Nemchem,23,1,,0.96,True
